submission_id,feedback,program_name,assignment_name,created_at
17195,I think parking recommendations should be made for frequent locations that hold meetings.,Indianapolis,Indianapolis Charter School Board meeting,2025-06-25 00:25:26.089528+00
17193,This is a small and intimate meeting. It helps to have some background info on the Dam mitigation project.,Columbia Gorge,Regular Meeting,2025-06-24 23:20:11.361915+00
17189,The store manager did not allow me to do the survey. I sent an email to Lynelle and left a voicemail with Alex about the details.,Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-24 19:55:01.03037+00
17186,"Here's a link to all the Police District Councils current District Strategic Plans. I think this would be a helpful resource for similar meetings:

https://www.chicagopolice.org/community-policing-group/consent-decree/strategic-plans/",Chicago,[in person] 5th Police District Council - Roseland/Pullman/Riverdale,2025-06-24 15:42:06.662446+00
17185,Some of the presentations shown on screen were too small (due to presenters),Detroit,"DLBA, Board of Directors",2025-06-24 15:23:52.04044+00
17179,Refused survey on both Tuesday and Wednesday,Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-23 17:02:14.99683+00
17173,Once again somehow I have a broken thread.... for some reason I was having trouble getting my posts to actually post and lost a few..,Indianapolis,Administration and Finance Committee,2025-06-21 01:47:02.697531+00
17171,"There is set to be a follow-up subcommittee meeting in early July. Pay attention to the deadlines of when this committee gets through the harm report. Currently, they are broken into these committees to research, analyze, and synthesize the report findings into recommendations for legislation. Public comment urged the committee to involve and engage with the public on what these recommendations will look like rather than simply allowing legislation to ""cherry-pick"" what they think works best. 
Additionally, the next meeting is set to include a presentation for the Chicago Vocational program as they didn't attend this meeting in which they were set to present.",Chicago,[remote or in person] African Descent-Citizens Reparations Commission,2025-06-20 22:27:03.960605+00
17168,"Although I found the meeting packet in advance, I missed the note in the heading that the meeting would only be virtual and arrived in person. I will be sure to note this more carefully next time.",Cincinnati,Regular Meeting,2025-06-20 14:27:25.219354+00
17167,This meeting did not take place in the room indicated on the assignment.,Fort Worth,Regular Meeting,2025-06-20 13:36:57.141846+00
17166,A few issues arose regarding comments made by two new members of the Committee before the meeting. They were asked to address these comments and all in all there was a cautious conversation.,Akron,Board meeting (remote option),2025-06-20 12:48:10.225157+00
17154,There was no meeting. It may been rescheduled or cancelled due to Juneteenth holiday. We need to identify a contact person who we can contact to confirm meeting details.,Akron,Authority Board Meeting,2025-06-19 19:13:59.196754+00
17147,Some technical difficulties. There was also a 40min break between meetings. See notes for details.,Chicago,[remote or in person] Metra Board of Directors Meeting,2025-06-19 16:12:26.880621+00
17145,"Attendance: 
Zoom: 4; Commissioners 5; Presenters 2; I am not aware of anyone else in the physical space.",Detroit,Detroit Entertainment Commission,2025-06-19 15:26:11.934291+00
17143,Not sure of how many members attended as the meeting was not scheduled on the calendar. There was no need to post a cancellation notice as there was no meeting scheduled. Nothing impacted the scheduled meeting as there was no meeting scheduled. Make sure to double check if the meetings is on the calendar before showing up.,Newark,Regular meeting,2025-06-19 14:48:53.752344+00
17140,"June 19, 2025, is a federal holiday and so no meeting was held. The scraping tool for Cincinnati Documenters did not pick up the holiday notation.",Cincinnati,Regular Meeting,2025-06-19 13:08:01.686177+00
17136,"IndyGo has multiple offices. Make sure you know in advance which one you are attending.  I went to the correct location, but the Documenters web site actually listed two different addresses for this meeting, depending on what page you were viewing.",Indianapolis,IndyGo Board,2025-06-19 10:43:51.021606+00
17134,"A sign-in sheet was at the front as well as a questionnaire to be completed and returned at end of meeting, optional, of course.",Fort Worth,Glasgow Road Pre-construction Meeting,2025-06-19 05:42:23.410019+00
17130,"The meeting went well up until the breakout room portion began, which lent to many challenges getting in the rooms and staying connected. There were 5 rooms made available however only 4 rooms reported out at the end. At that point I was constantly kicked out but the zoom would always reengage on its own to bring me back into the room to listen to the discussion. I listened to   the homelessness  discussion.",Detroit,"HRD, HUD Consolidated Plan Meeting",2025-06-19 01:11:30.054138+00
17129,"The Warren Township school board meetings usually go pretty smoothly and the agendas are usually very detailed and followed closely. The storms made the stream a little bit glitchy, but I was able to watch the entire thing without too many issues. I did rent a hotel room because my power went out and i was going to need to use my hotspot and did not feel I had enough power! But they have a pool, so it worked out for the best!",Indianapolis,School Board Meeting,2025-06-19 00:58:38.565697+00
17127,"There were no paper agendas available for the public, though the agenda was posted on the website.",Omaha,Omaha Human Rights and Relations Board,2025-06-19 00:27:46.5562+00
17126,Meeting did not happen/ was not allowed into the meeting,Newark,Regular meeting,2025-06-18 23:02:07.537609+00
17125,Agenda was made available to the public on the site's website. Supporting documents were not available to the public. I requested them but they were not delivered.,San Diego,(REMOTE) Fringe Benefits Consortium- Executive Meeting,2025-06-18 22:43:35.63519+00
17123,I would like to see someone report on this BOPC resolution about not cooperating with federal police.,Detroit,Board of Police Commissioners — Evening Community Meeting,2025-06-18 22:30:37.972595+00
17122,"I would really like a reporter to dig deeper into the push to make Detroit a sanctuary city, because a few people who organize for immigrant rights said during public comment that they don’t think city council should become a sanctuary city and I would really like a deeper look into how people (especially immigrants/ppl working closely with immigrant communities) feel about making the city a sanctuary city.",Detroit,Detroit City Council Formal Session,2025-06-18 22:27:09.782299+00
17120,"Good idea to Voice record meetings since they are fast pace, so you can go back through later to clarify your notes.",Indianapolis,IndyGo Board,2025-06-18 22:04:19.552683+00
17118,This was a special assignment - documenting King Cole Grocery Store’s,Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-18 20:11:48.731117+00
17111,The survey app was a little bit difficult to work with.,Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-18 16:38:44.747919+00
17108,"I was provided the agenda upon emailed request. I did not request and unsure if I would have been provided background materials. This needs to be clarified and would have been helpful. Meeting is accessible but not easily so. I created a how to/tips guide. Meeting alloted time for public comment but there is likely will be none because no one from the public attended and what was discussed was not fuilly explained so it would be hard to understand to those unfamiliar, used undefined acronyms, and required some additional research.",Akron,Board Meeting,2025-06-18 12:26:07.850298+00
17107,Ensure speakers identify themselves.,Cincinnati,Commission Meeting,2025-06-18 03:40:54.938252+00
17098,"Apparently one should open a new browser and somehow open the grocery store survey form in that browser before proceeding with completion.  For no apparent reason, because I moved through a particular page pretty quickly, the form timed out and I lost all of the information I had input. Although I contacted Alex and he texted me the link to go back in, all of the information on the page that I left off on had disappeared. 

Lastly, I don't recall hearing this in the recorded training, after listening twice, but every single space on the form requires input, even if the store doesn't carry the item. One must input a zero if the section requires numbers and NA if a comment is required. Otherwise the form will not allow you to advance to the next page.",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-17 21:45:46.033686+00
17097,"The meeting starts at 6:00 PM but immediately adjourned to closed session. Open session started at 7:00 PM, which is when members of the public began to arrive.",Fort Worth,Regular Meeting,2025-06-17 21:42:27.120594+00
17094,"The press passes did an outstanding job! The LAPD officers and staff who saw me with the LA Documenters press pass were courageous and helpful. A public relations person from the LAPD came to me, guided me through the procedures for press, during the meeting, gave me her contact information (email and phone number) and even answered some questions I had about the meeting. After the board went into closed session, I was invited to a press conference with the LAPD Chief; they just saw the press pass and invited me. I was even able to ask the chief of police questions as a member of the press. Excellent decision to get the press passes.",Los Angeles,Meeting,2025-06-17 20:36:56.364754+00
17093,The volume for the microphones may need to be increased. Some parts where difficult to hear.,Bismarck,Bismarck-Mandan MPO TAC Meeting,2025-06-17 19:59:49.642642+00
17087,"Rather than a meeting led by TxDOT or Fort Worth, this was closer to an information session where officials stood near tables with info to answer questions. In this scenario, even if no one wants to go on the record, it can be incredibly useful to simply stand around and listen to the concerns residents express to officials. Do not be afraid to ask for a copy of any slides or information presented but just in case, take many pictures. 
While the meeting agenda was not distributed, it was shown on a presentation which I requested and subsequently received.",Fort Worth,Bonds Ranch Road Final Design Plan Meeting,2025-06-17 18:14:18.075373+00
17086,"Not all speakers on the videocall were visible.
The volume for microphones may need to be increased. The acoustic design of the room makes it difficult to hear.",Bismarck,Bismarck-Mandan MPO TAC Meeting,2025-06-17 18:11:30.280341+00
17082,It's difficult to hear when the speakers do not use their microphones.,Akron,Regular meeting,2025-06-17 07:18:56.425684+00
17081,"The agenda was missing an entire item. Also the meeting itself was just a whole mess, there’s something very personal happening behind the scenes that I think is  rearing its ugly head here. Lots of arguing.",Detroit,Highland Park City Council,2025-06-17 01:45:33.155466+00
17079,"For well-attended meetings in the municipal building, like this one, coming 15 minutes before the meeting is not enough time to get through the security line.",Akron,Commission meeting,2025-06-16 23:25:49.901637+00
17077,"No agenda shared ahead of time, no quorum. 2 presenters went ahead with sharing the information they came to present. I felt bad for the commissioners who DID show up. Seems like a bummer.",Detroit,Detroit Entertainment Commission,2025-06-16 22:19:55.667847+00
17076,The agenda only had the specific petition requests but there was much more information presented on the screen that wasn't made available in a handout format,Cleveland,Board of Zoning Appeals,2025-06-16 21:19:19.861707+00
17070,"I wanted to make a note that I was approached after the meeting by Brenda Harrison with the Clayton County Housing Authority. She extended an invitation for the Documenters Program to attend Housing Authority meetings, which take place monthly in Forest Park.",Atlanta,The Development Authority of Clayton County Board,2025-06-14 04:57:35.291832+00
17068,"The 8th district, covering a large area, tries to move their council meeting locations around each month, so be sure where you're going.",Chicago,"[in person] Police District Council 008 - Chicago Lawn (Garfield Ridge, South Lawndale, Archer Heights, Clearing, West Lawn, Ashburn, Chicago Lawn, Brighton Park, Gage Park, West Elsdon)",2025-06-14 01:31:26.568033+00
17064,In terms of people in attendance 14 people spoke but I am unsure how many people were in attendance but did not speak like me,Philadelphia,CPOC Commissioners' Public Meeting [REMOTE],2025-06-13 22:48:10.264122+00
17063,No agenda was provided in advance or prepared and distributed at the meeting. The meeting operated as an opportunity to focus in depth on a featured topic or speaker and then to update on current issues for the City from the Council person's perspective,Akron,Ward 6 meeting,2025-06-13 22:04:58.905145+00
17058,"The Planning Commissioners and City Planner have much less experience compared to those in other local boards that I have attended (i.e., Skamania County Board of Commissioners and the Port of Klickitat Board of Commissioners).",Columbia Gorge,Regular Meeting,2025-06-13 20:28:26.273634+00
17057,I was so surprised at how short the meeting was yesterday! CPOC got through its agenda seamlessly.,Philadelphia,CPOC Commissioners' Public Meeting [REMOTE],2025-06-13 20:09:09.749198+00
17051,Attending in person is very straightforward. One note that the guard who took my photo ID when I entered the building also asked me which room number I was going to.,Cleveland,Lead Safe Advisory Board,2025-06-13 14:29:13.245392+00
17050,"As this was the first Ward Community Meeting covered by Documenters, it would be helpful if the Documenter was allowed to ask speakers to identify themselves. I noticed that many of the same people attend the community meetings and were familiar with many of the speakers. Therefore, the speakers did not identify themselves and there was no printed meeting agenda. I took it upon myself to ask those who did not, to identify themselves.",Cleveland,"Ward 6 Community Meeting (in-person preferred for notes, required for audio)",2025-06-13 05:34:57.071023+00
17037,"Facilitators said they were going to ask me to leave before public comments, but never did",Indianapolis,IMPD Strategic Planning // Southeast Listening Session with Taylor Advising,2025-06-12 20:53:02.444166+00
17035,I don't think that the packets available for board members were made available to the public.,Chicago,[in person] RTA Board of Directors,2025-06-12 18:16:51.035581+00
17033,"When there are many presenters, it can be all too easy to lose track of names. I found that using LinkedIN makes it easier to identify names and titles of speakers and presenters during the meeting who are not stated on the agenda or website.",Detroit,"DWIHN, Program Compliance Committee",2025-06-12 16:58:28.372187+00
17026,Very little meeting background information,Akron,Board meeting,2025-06-12 03:21:12.09268+00
17022,I could not find the audio document for this meeting so I created one and shared the link. Please let me know if you have any issues.,Indianapolis,IPS community conversation,2025-06-12 01:39:00.562395+00
17017,It’s helpful to be familiar with who the commissioners and staff are. Most meetings are virtual with 2 meetings/year in person (next in person in July in Cascade Locks),Columbia Gorge,MONTHLY CRGC MEETING,2025-06-11 22:09:27.767103+00
17013,There is limited visitor parking just prior to entering the parking garage for the facility. Visitors must sign in at the front desk.,Cleveland,Community Affairs/Workforce Committee Meeting (in-person only),2025-06-11 19:49:30.783854+00
16999,"Council President Griffin was called to Columbus at the last minute, so a staff member ran the meeting. I sat in the front row & used a Philips Digital Voicetracer to record the meeting.",Cleveland,"Ward 6 Community Meeting (in-person preferred for notes, required for audio)",2025-06-11 04:03:15.644077+00
16998,"The room featured protestors for two major issues: One on the mayor's staff ignoring sexual harassment, and one on rezoning of wetlands. When a meeting is this full, and the agenda long, record the meeting so you can go back and double check things that may have been missed",Indianapolis,Regular Meeting,2025-06-11 03:57:16.255948+00
16997,Press conference/media coverage organized during middle of the meeting to address urgent immigration issue.,Detroit,DPSCD REGULAR BOARD MEETING,2025-06-11 03:03:06.276213+00
16995,"As described in my timestamp notes, there was a 45 minute segment where they split up into 7 separate small groups to do a map activity and it was difficult to record. I was not sure if I should have paused the recording and un-paused it after the activity or to do what I ended up doing and just record through it.",Indianapolis,Franklin Township Comprehensive Plan Review Open House,2025-06-11 02:08:11.320593+00
16994,"The survey needs and option to save information before moving to next page, if you lose Internet connection all data will be lost and you have to start from the beginning.",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-11 01:38:48.249188+00
16993,"The layout of the Beurt SerVaas room is terrible for viewing important members of the council from the gallery seating, making it extremely difficult to determine who is talking at times.  Unless you are watching from inside the council room near the doorway nearest the council's seats, you are unable to see the council president, clerk, etc., to the left of that doorway, as their backs face the gallery.  Additionally, while council members have seats with nameplates at their regular seats, two council members switched places before the meeting. While they appropriately also switched nameplates, if you were relying on an expected seating layout to identify members from the gallery, you would have likely switched those two members and possibly misidentified them if you were unfamiliar with them prior to the meeting.",Indianapolis,Indianapolis City-County Council Meeting,2025-06-11 00:59:50.44144+00
16992,"The second and third public hearings (which both related to street redesignations) seemed to be combined into one. One commenter would discuss the proposed Amillier Penn Way, then the next would talk about the proposed Dr. MaLinda Sapp Way.",Grand Rapids,City Commission,2025-06-11 00:47:48.284486+00
16990,"I really had zero travel time, but my hours were longer than expected because the form used lost the data when I had to shut down a bit and then tried to restart. I had to basically start over.",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-11 00:10:43.51488+00
16988,"This meeting was cancelled due to a lack of quorum. The meeting agenda was not made available to the public - I don't know whether the lack of a posted agenda had to due with the anticipated cancellation, or whether this commission does not usually provide the agenda in advance. Were previous Documenters able to access the agenda in advance?",New Brunswick,Regular Meeting,2025-06-10 22:53:10.119544+00
16985,This took a lot longer than I expected! I'd also recommend people remember to dress a little warmly since grocery stores are cold (I did not remember this!). I added this to my survey but I also thought it was important to note that this is a Project Green Light location (with a lot of surveillance signage around).,Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-10 21:04:29.755908+00
16983,"I finished the survey just a moment ago but it kind of abruptly ended and redirected so I want to make sure that everything got entered correctly, I was able to complete all sections I just want to be sure that everything was recorded!",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-10 20:48:06.488394+00
16977,"No feedback, but noting that I areived at the store at 10am and then waited several min  for the store mgr who was in the back, so I marked the survey start time as after I had spoken to him. Also, there were a few items that were unpriced so I had to stand in line briefly for price checks.",Detroit,Special Assignment: Documenting Detroit Grocery Stores,2025-06-10 17:42:33.287892+00
16974,"It was interesting the Board paid transportation costs for one student and their guardian (parent?) to attend a weeklong summer camp. Is this something also offered to other students? Is there a criteria for submitting a request like this or for it being approved? This seems like something many children attend over the summer, and I do not understand why the school district pays for it in a specific circumstance.

The meeting agenda with appendices were only available online. In Wichita, printed copies are provided for members of the public at the meeting. Copies of the agenda were available, however.

Derby's superintendent went out of her way to say hello and shake my hand. She came up to me before the meeting and introduced herself. I explained the Documenters program to her.

The facilities are very new (built in 2021). A uniformed security guard was present, but there was nothing preventing me from wandering around the building.

Previous experience has taught me that when a school board recesses for executive session, it is usually for discussing the superintendent's contract and job status.",Wichita,Regular Board Meeting,2025-06-10 16:50:42.26999+00
16968,The building was easy to find but required staff to let you into the meeting room (had to wait in the lobby for a few minutes). The meeting started late (over 30 min). Microphone in the room was not working so it was hard to capture audio at times.,Indianapolis,Regular Meeting,2025-06-10 04:34:11.904383+00
16967,Meeting went well and issues came up about young teenagers and the Freeway but everyone seemed cordial . All 10 pieces of legislation passed with no opposition . The directions were correct,Cleveland,Regular Meeting,2025-06-10 02:59:40.878223+00
16962,Meeting was postponed.,Detroit,Wayne County Housing Commission,2025-06-09 18:05:10.211699+00
16950,Please ensure that future assignment notes that this specific branch is located in a mall.,Fort Worth,Library Advisory Board Meeting (LAB),2025-06-07 18:06:09.548399+00
16949,The meeting location given to me by Documenters.org was incorrect. The meeting location was held at 3555 Farnam Street in the Blackstone Plaza. This meeting location has been in effect for months.,Omaha,Monthly Blackstone BID Meeting,2025-06-07 12:49:45.929202+00
16942,"The Board website says that meetings are available to watch on Channel 21 on Friday/Saturday/Sunday at 10am and 7pm, but there does not appear to be any meetings viewable. Despite being recorded in Zoom, it is unclear where the recording will be published.",Detroit,Board of Police Commissioners,2025-06-06 14:30:41.990204+00
16938,"I arrived early and was able to meet Andrew Daniels (MCEDD) and Jill Brandt (MCEDD Admin Assistant). Jill Showed me how to navigate to where her minutes would eventually turn up on Wasco County's site, once the minutes are approved at next months meeting.",Columbia Gorge,Regular meeting,2025-06-06 05:22:08.424354+00
16936,"Visitor parking is limited at the DFW HQ building and the Board Room filled quickly, so arrive at least 30 minutes early if not more.",Fort Worth,Regular Board Meeting,2025-06-06 02:42:01.346376+00
16933,"Printed agendas were not available for members of the public but are available for download from the website.

Arrive early for security screening. You will be asked for your driver's license, name and the organization you're with, if applicable. You'll be issued a visitor badge, then proceed through a metal detector before being allowed into chambers.

For full context, it seems advisable to attend both the Board Committee meeting and the Board of Director meeting. My experience was that most discussion of items on the agenda occurred at the committee meeting and as a result, the Board meeting was only 10 minutes and was only voting on items discussed in the committee meeting that preceeded it.",Omaha,MUD Board of Directors,2025-06-06 00:14:09.028972+00
16921,Easy to follow online,Akron,Akron State of the City (remote option),2025-06-05 15:21:39.694572+00
16918,Be prepared for traffic in case of a major event occurring at the same time of the meeting. Traffic was especially congested to due Pacers Merchandise Giveaway.,Indianapolis,IHPC Commission Hearing,2025-06-05 02:24:05.328624+00
16914,"Maybe an extra note in the Assignment page to emphasize that Documenters need to register for the event in addition to applying for the assignment.

Also, I'm a little confused on the ""8-10 hyperlinks"" requirement/suggestion in the note taking Google Doc. I am a bit confused on what kinds of links would be helpful? I want to make sure they're not superfluous, and useful for the correct purposes. I gave it a go, let me know!",Detroit,Detroit Mayoral Candidate Forum on Public Transit,2025-06-05 00:07:09.649217+00
16909,"Learned so much from attending this meeting about upcoming projects. I am glad I attended in person as there were complications with Zoom and internet, mic and volume issues.  I might have left my recording device to close to me so I apologies for audio recording issues. I know for next time to leave some distance. Please let me know if you are able to access the audio recording file. Slides of presentation said they would be shared soon via email, so notes will need to be edited so we can include the slide presentations on the document.",Los Angeles,Bicycle Advisory Committee,2025-06-04 23:04:49.210739+00
16903,"A list of Planning Commission members can be found at https://www.klickitatcounty.gov/1291/Boards-Committees-Commissions.  Look under ""Klickitat County Boards""",Columbia Gorge,Regular meeting,2025-06-04 21:54:28.481098+00
16896,Grab screenshots as quickly as you can. They moved fast.,Detroit,"DWIHN, Finance Committee",2025-06-04 18:25:39.697252+00
16894,"There was a PowerPoint presentation in the meeting, but I am struggling to download it from my laptop. I cannot upload the PowerPoint.",Indianapolis,Merchants West Quarterly Meeting ​,2025-06-04 16:58:35.946669+00
16893,"Fortunately, there was only a single project review at this meeting. If there are several, there could be a lot of downloads and supplemental materials to upload with the notes.",Philadelphia,Civic Design Review Committee [HYBRID],2025-06-04 14:52:39.878857+00
